Training with hyperparameters: p_pddm=3.2e+02, r_mid_point_mini=1e+03
Training data: /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_train.npz
Test data:     /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_test.npz
Loaded data with shape [3601,82]
Defining graph...

Training on experiment 1/10...
1800	Obj: 5648.117,	F: 4.525,	Cf: 4.552,	PDDM: 18,	mid_p: 8.7e-05,	Val: 5.187,	ValObj: 6871.57
1900	Obj: 7109.832,	F: 4.534,	Cf: 4.523,	PDDM: 22,	mid_p: 8.7e-05,	Val: 5.189,	ValObj: 5357.94
1999	Obj: 5045.423,	F: 4.516,	Cf: 4.548,	PDDM: 16,	mid_p: 8.7e-05,	Val: 5.182,	ValObj: 8832.12
Saving result to results/ihdpresults_20211208_152220-189109/...

Training on experiment 3/10...
0	Obj: 52342.133,	F: 5.585,	Cf: 6.945,	PDDM: 1.7e+02,	mid_p: 0.022,	Val: 5.753,	ValObj: 74147.94
100	Obj: 7894.429,	F: 4.672,	Cf: 4.674,	PDDM: 25,	mid_p: 0.001,	Val: 4.831,	ValObj: 6907.20
200	Obj: 9891.444,	F: 4.646,	Cf: 4.534,	PDDM: 31,	mid_p: 0.0061,	Val: 4.846,	ValObj: 3656.17
300	Obj: 9729.722,	F: 4.636,	Cf: 4.578,	PDDM: 31,	mid_p: 0.00025,	Val: 4.811,	ValObj: 6549.15
400	Obj: 8118.582,	F: 4.640,	Cf: 4.603,	PDDM: 26,	mid_p: 0.00016,	Val: 4.829,	ValObj: 5406.19
500	Obj: 5622.238,	F: 4.633,	Cf: 4.482,	PDDM: 18,	mid_p: 0.00016,	Val: 4.812,	ValObj: 8206.01
600	Obj: 8575.488,	F: 4.635,	Cf: 4.488,	PDDM: 27,	mid_p: 0.00016,	Val: 4.808,	ValObj: 4998.16
700	Obj: 11236.757,	F: 4.633,	Cf: 4.513,	PDDM: 35,	mid_p: 0.00016,	Val: 4.803,	ValObj: 3007.80
800	Obj: 9060.252,	F: 4.645,	Cf: 4.629,	PDDM: 29,	mid_p: 0.00015,	Val: 4.835,	ValObj: 5751.51
900	Obj: 6228.722,	F: 4.642,	Cf: 4.613,	PDDM: 20,	mid_p: 0.00015,	Val: 4.817,	ValObj: 11684.97
1000	Obj: 9804.379,	F: 4.640,	Cf: 4.598,	PDDM: 31,	mid_p: 0.00015,	Val: 4.831,	ValObj: 3466.58
1100	Obj: 7033.559,	F: 4.640,	Cf: 4.603,	PDDM: 22,	mid_p: 0.00015,	Val: 4.816,	ValObj: 6558.91
1200	Obj: 9039.843,	F: 4.634,	Cf: 4.573,	PDDM: 29,	mid_p: 0.00014,	Val: 4.813,	ValObj: 3715.02
1300	Obj: 9648.865,	F: 4.633,	Cf: 4.560,	PDDM: 30,	mid_p: 0.00014,	Val: 4.809,	ValObj: 3231.67
1400	Obj: 8324.396,	F: 4.635,	Cf: 4.490,	PDDM: 26,	mid_p: 0.00014,	Val: 4.807,	ValObj: 4378.14
1500	Obj: 7832.214,	F: 4.634,	Cf: 4.568,	PDDM: 25,	mid_p: 0.00014,	Val: 4.819,	ValObj: 4495.73
1600	Obj: 7428.503,	F: 4.631,	Cf: 4.499,	PDDM: 23,	mid_p: 0.00014,	Val: 4.806,	ValObj: 4516.06
1700	Obj: 6568.941,	F: 4.635,	Cf: 4.582,	PDDM: 21,	mid_p: 0.00014,	Val: 4.814,	ValObj: 5673.99
1800	Obj: 6418.484,	F: 4.635,	Cf: 4.498,	PDDM: 20,	mid_p: 0.00014,	Val: 4.805,	ValObj: 5702.56
1900	Obj: 5655.625,	F: 4.629,	Cf: 4.516,	PDDM: 18,	mid_p: 0.00014,	Val: 4.810,	ValObj: 6834.28
1999	Obj: 5978.568,	F: 4.630,	Cf: 4.528,	PDDM: 19,	mid_p: 0.00014,	Val: 4.807,	ValObj: 6449.08
Saving result to results/ihdpresults_20211208_152220-189109/...

Training on experiment 4/10...
0	Obj: 77868.844,	F: 6.571,	Cf: 7.248,	PDDM: 2.5e+02,	mid_p: 0.052,	Val: 6.680,	ValObj: 52965.58
100	Obj: 14701.188,	F: 5.374,	Cf: 5.344,	PDDM: 46,	mid_p: 0.00019,	Val: 5.520,	ValObj: 2801.36
200	Obj: 5925.981,	F: 5.369,	Cf: 5.376,	PDDM: 19,	mid_p: 0.00019,	Val: 5.523,	ValObj: 7329.19
300	Obj: 5035.976,	F: 5.369,	Cf: 5.380,	PDDM: 16,	mid_p: 0.00019,	Val: 5.521,	ValObj: 7688.54
400	Obj: 6472.771,	F: 5.375,	Cf: 5.467,	PDDM: 20,	mid_p: 0.00019,	Val: 5.534,	ValObj: 7229.78
500	Obj: 7447.398,	F: 5.395,	Cf: 5.526,	PDDM: 23,	mid_p: 0.00019,	Val: 5.528,	ValObj: 7115.31
600	Obj: 4809.269,	F: 5.372,	Cf: 5.435,	PDDM: 15,	mid_p: 0.00019,	Val: 5.531,	ValObj: 8368.91
700	Obj: 7528.550,	F: 5.374,	Cf: 5.394,	PDDM: 24,	mid_p: 0.00019,	Val: 5.518,	ValObj: 4663.03
800	Obj: 7931.691,	F: 5.377,	Cf: 5.503,	PDDM: 25,	mid_p: 0.00019,	Val: 5.524,	ValObj: 6980.33
900	Obj: 8469.366,	F: 5.376,	Cf: 5.500,	PDDM: 27,	mid_p: 0.00019,	Val: 5.530,	ValObj: 5743.12
